,class
2998,6
2999,9
3000,0
3001,4
3002,1
3003,0
3004,3
3005,5
3006,5
3007,5
3008,3
3009,0
3010,5
3011,3
3012,8
3013,0
3014,6
3015,9
3016,9
3017,3
3018,0
3019,3
3020,0
3021,3
3022,7
3023,3
3024,9
3025,1
3026,2
3027,3
3028,7
3029,4
3030,6
3031,1
3032,3
3033,6
3034,1
3035,3
3036,9
3037,7
3038,7
3039,4
3040,5
3041,3
3042,2
3043,0
3044,4
3045,0
3046,5
3047,0
3048,6
3049,1
3050,0
3051,4
3052,8
3053,0
3054,6
3055,2
3056,3
3057,5
3058,3
3059,5
3060,6
3061,8
3062,7
3063,2
3064,9
3065,8
3066,4
3067,3
3068,2
3069,2
3070,9
3071,5
3072,8
3073,0
3074,9
3075,9
3076,8
3077,3
3078,4
3079,0
3080,4
3081,7
3082,3
3083,4
3084,2
3085,9
3086,9
3087,6
3088,9
3089,7
3090,1
3091,9
3092,1
3093,5
3094,1
3095,1
3096,6
3097,1
3098,8
3099,0
3100,9
3101,9
3102,9
3103,2
3104,3
3105,7
3106,4
3107,3
3108,6
3109,0
3110,3
3111,6
3112,6
3113,2
3114,3
3115,9
3116,8
3117,1
3118,0
3119,2
3120,7
3121,7
3122,0
3123,1
3124,8
3125,1
3126,0
3127,6
3128,1
3129,2
3130,3
3131,5
3132,5
3133,4
3134,3
3135,7
3136,7
3137,8
3138,5
3139,1
3140,6
3141,9
3142,5
3143,0
3144,4
3145,5
3146,8
3147,4
3148,1
3149,5
3150,4
3151,9
3152,2
3153,7
3154,3
3155,9
3156,4
3157,3
3158,5
3159,4
3160,4
3161,1
3162,1
3163,3
3164,4
3165,6
3166,4
3167,8
3168,7
3169,2
3170,7
3171,0
3172,9
3173,6
3174,2
3175,3
3176,7
3177,4
3178,4
3179,2
3180,3
3181,8
3182,2
3183,4
3184,4
3185,0
3186,2
3187,8
3188,9
3189,9
3190,1
3191,0
3192,4
3193,0
3194,8
3195,6
3196,6
3197,1
3198,4
3199,1
3200,3
3201,8
3202,7
3203,3
3204,6
3205,7
3206,6
3207,8
3208,5
3209,6
3210,4
3211,8
3212,9
3213,8
3214,6
3215,5
3216,7
3217,8
3218,4
3219,2
3220,6
3221,0
3222,6
3223,0
3224,0
3225,8
3226,0
3227,3
3228,4
3229,8
3230,1
3231,0
3232,4
3233,4
3234,9
3235,2
3236,6
3237,4
3238,7
3239,4
3240,2
3241,6
3242,5
3243,8
3244,0
3245,5
3246,6
3247,4
3248,7
3249,4
3250,4
3251,6
3252,1
3253,5
3254,6
3255,0
3256,6
3257,8
3258,1
3259,0
3260,7
3261,3
3262,8
3263,0
3264,8
3265,4
3266,6
3267,3
3268,1
3269,6
3270,1
3271,8
3272,2
3273,3
3274,8
3275,6
3276,3
3277,7
3278,8
3279,0
3280,6
3281,8
3282,6
3283,5
3284,7
3285,3
3286,4
3287,2
3288,0
3289,5
3290,2
3291,6
3292,8
3293,0
3294,5
3295,9
3296,7
3297,4
3298,4
3299,0
3300,8
3301,6
3302,9
3303,4
3304,0
3305,9
3306,8
3307,9
3308,4
3309,4
3310,7
3311,7
3312,8
3313,5
3314,8
3315,2
3316,2
3317,7
3318,0
3319,7
3320,1
3321,4
3322,2
3323,4
3324,0
3325,1
3326,5
3327,3
3328,7
3329,9
3330,5
3331,5
3332,5
3333,7
3334,2
3335,0
3336,1
3337,4
3338,2
3339,6
3340,5
3341,7
3342,3
3343,5
3344,4
3345,0
3346,8
3347,6
3348,3
3349,7
3350,7
3351,4
3352,9
3353,9
3354,2
3355,8
3356,5
3357,5
3358,2
3359,2
3360,8
3361,6
3362,4
3363,6
3364,3
3365,9
3366,6
3367,0
3368,8
3369,6
3370,4
3371,1
3372,1
3373,9
3374,1
3375,6
3376,3
3377,6
3378,4
3379,4
3380,8
3381,6
3382,7
3383,1
3384,5
3385,9
3386,5
3387,4
3388,8
3389,5
3390,1
3391,2
3392,3
3393,3
3394,4
3395,6
3396,0
3397,5
3398,3
3399,1
3400,5
3401,1
3402,7
3403,3
3404,2
3405,1
3406,0
3407,5
3408,7
3409,2
3410,8
3411,4
3412,6
3413,7
3414,3
3415,0
3416,6
3417,1
3418,7
3419,1
3420,4
3421,2
3422,8
3423,6
3424,6
3425,3
3426,7
3427,2
3428,6
3429,9
3430,0
3431,7
3432,2
3433,4
3434,2
3435,5
3436,5
3437,0
3438,0
3439,3
3440,4
3441,2
3442,5
3443,3
3444,6
3445,0
3446,4
3447,0
3448,9
3449,7
3450,4
3451,9
3452,4
3453,2
3454,7
3455,3
3456,3
3457,2
3458,1
3459,9
3460,6
3461,3
3462,5
3463,8
3464,4
3465,2
3466,2
3467,5
3468,4
3469,9
3470,2
3471,6
3472,4
3473,4
3474,6
3475,1
3476,0
3477,7
3478,1
3479,0
3480,4
3481,7
3482,9
3483,2
3484,8
3485,0
3486,8
3487,4
3488,8
3489,4
3490,7
3491,9
3492,8
3493,6
3494,5
3495,5
3496,0
3497,4
3498,9
3499,6
3500,2
3501,5
3502,5
3503,1
3504,9
3505,6
3506,1
3507,6
3508,3
3509,0
3510,1
3511,0
3512,7
3513,3
3514,1
3515,6
3516,7
3517,3
3518,1
3519,0
3520,3
3521,4
3522,0
3523,1
3524,3
3525,4
3526,1
3527,5
3528,2
3529,9
3530,7
3531,7
3532,7
3533,8
3534,3
3535,8
3536,0
3537,1
3538,7
3539,8
3540,8
3541,5
3542,7
3543,1
3544,6
3545,6
3546,8
3547,4
3548,4
3549,7
3550,9
3551,9
3552,5
3553,2
3554,2
3555,7
3556,7
3557,3
3558,4
3559,4
3560,1
3561,0
3562,0
3563,1
3564,7
3565,6
3566,4
3567,2
3568,4
3569,8
3570,8
3571,0
3572,6
3573,1
3574,4
3575,7
3576,5
3577,4
3578,2
3579,3
3580,1
3581,7
3582,6
3583,5
3584,8
3585,1
3586,0
3587,5
3588,4
3589,2
3590,1
3591,7
3592,9
3593,2
3594,5
3595,4
3596,5
3597,1
3598,6
3599,3
3600,7
3601,7
3602,0
3603,2
3604,9
3605,2
3606,8
3607,1
3608,0
3609,7
3610,1
3611,2
3612,4
3613,9
3614,1
3615,2
3616,0
3617,5
3618,9
3619,6
3620,1
3621,8
3622,1
3623,9
3624,0
3625,9
3626,8
3627,4
3628,6
3629,5
3630,4
3631,7
3632,0
3633,1
3634,5
3635,4
3636,9
3637,3
3638,5
3639,2
3640,7
3641,4
3642,5
3643,9
3644,9
3645,4
3646,1
3647,7
3648,5
3649,9
3650,7
3651,1
3652,6
3653,6
3654,4
3655,9
3656,1
3657,7
3658,5
3659,5
3660,2
3661,3
3662,0
3663,5
3664,4
3665,8
3666,3
3667,3
3668,6
3669,0
3670,4
3671,0
3672,4
3673,1
3674,0
3675,5
3676,4
3677,9
3678,1
3679,8
3680,6
3681,8
3682,5
3683,3
3684,5
3685,6
3686,4
3687,8
3688,7
3689,6
3690,1
3691,1
3692,1
3693,9
3694,5
3695,5
3696,2
3697,8
3698,7
3699,3
3700,7
3701,0
3702,5
3703,6
3704,4
3705,5
3706,9
3707,6
3708,9
3709,2
3710,4
3711,7
3712,8
3713,8
3714,3
3715,4
3716,7
3717,3
3718,5
3719,4
3720,8
3721,2
3722,6
3723,1
3724,9
3725,7
3726,9
3727,9
3728,3
3729,0
3730,2
3731,6
3732,9
3733,3
3734,4
3735,2
3736,5
3737,0
3738,3
3739,7
3740,1
3741,9
3742,3
3743,1
3744,3
3745,8
3746,4
3747,4
3748,8
3749,1
3750,6
3751,7
3752,7
3753,0
3754,0
3755,3
3756,8
3757,8
3758,0
3759,9
3760,8
3761,0
3762,6
3763,8
3764,3
3765,0
3766,9
3767,0
3768,2
3769,4
3770,6
3771,8
3772,9
3773,6
3774,3
3775,0
3776,5
3777,0
3778,1
3779,5
3780,7
3781,0
3782,7
3783,1
3784,8
3785,9
3786,9
3787,6
3788,9
3789,8
3790,6
3791,5
3792,0
3793,7
3794,0
3795,1
3796,0
3797,9
3798,5
3799,4
3800,4
3801,3
3802,5
3803,6
3804,7
3805,9
3806,6
3807,6
3808,0
3809,3
3810,1
3811,9
3812,2
3813,4
3814,1
3815,7
3816,4
3817,2
3818,0
3819,5
3820,7
3821,3
3822,6
3823,7
3824,1
3825,4
3826,0
3827,0
3828,2
3829,4
3830,0
3831,0
3832,5
3833,8
3834,3
3835,5
3836,7
3837,4
3838,8
3839,6
3840,6
3841,4
3842,2
3843,5
3844,0
3845,2
3846,2
3847,9
3848,4
3849,9
3850,4
3851,1
3852,4
3853,3
3854,9
3855,1
3856,3
3857,0
3858,5
3859,1
3860,2
3861,4
3862,8
3863,5
3864,5
3865,4
3866,0
3867,2
3868,7
3869,7
3870,3
3871,2
3872,6
3873,8
3874,2
3875,3
3876,2
3877,8
3878,9
3879,8
3880,1
3881,7
3882,1
3883,2
3884,8
3885,2
3886,6
3887,3
3888,3
3889,1
3890,5
3891,0
3892,1
3893,6
3894,4
3895,0
3896,6
3897,2
3898,7
3899,8
3900,0
3901,4
3902,7
3903,4
3904,7
3905,8
3906,9
3907,9
3908,1
3909,0
3910,5
3911,7
3912,6
3913,0
3914,8
3915,8
3916,7
3917,2
3918,2
3919,4
3920,3
3921,1
3922,6
3923,5
3924,2
3925,9
3926,4
3927,7
3928,6
3929,4
3930,4
3931,6
3932,9
3933,3
3934,0
3935,7
3936,8
3937,8
3938,0
3939,1
3940,1
3941,4
3942,7
3943,9
3944,6
3945,7
3946,1
3947,8
3948,0
3949,6
3950,3
3951,5
3952,6
3953,4
3954,8
3955,1
3956,2
3957,9
3958,6
3959,4
3960,7
3961,7
3962,1
3963,4
3964,7
3965,5
3966,7
3967,3
3968,1
3969,6
3970,1
3971,7
3972,9
3973,1
3974,9
3975,4
3976,7
3977,6
3978,5
3979,2
3980,1
3981,1
3982,0
3983,8
3984,7
3985,1
3986,1
3987,9
3988,2
3989,0
3990,9
3991,7
3992,1
3993,3
3994,4
3995,3
3996,4
3997,8
3998,1
3999,8
4000,0
4001,0
4002,6
4003,4
4004,1
4005,8
4006,6
4007,8
4008,1
4009,0
4010,9
4011,4
4012,6
4013,1
4014,7
4015,6
4016,6
4017,2
4018,0
4019,8
4020,6
4021,9
4022,3
4023,6
4024,6
4025,7
4026,3
4027,1
4028,7
4029,4
4030,1
4031,6
4032,1
4033,1
4034,3
4035,0
4036,4
4037,0
4038,0
4039,8
4040,3
4041,6
4042,3
4043,9
4044,0
4045,1
4046,0
4047,9
4048,5
4049,1
4050,8
4051,8
4052,8
4053,0
4054,3
4055,9
4056,1
4057,8
4058,5
4059,6
4060,1
4061,1
4062,5
4063,1
4064,5
4065,4
4066,5
4067,4
4068,1
4069,3
4070,3
4071,6
4072,6
4073,0
4074,8
4075,4
4076,2
4077,1
4078,5
4079,3
4080,6
4081,9
4082,9
4083,9
4084,0
4085,0
4086,0
4087,7
4088,8
4089,7
4090,4
4091,2
4092,5
4093,3
4094,0
4095,6
4096,3
4097,9
4098,5
4099,0
4100,3
4101,6
4102,0
4103,5
4104,7
4105,9
4106,8
4107,6
4108,1
4109,5
4110,3
4111,4
4112,3
4113,1
4114,6
4115,0
4116,6
4117,7
4118,5
4119,6
4120,8
4121,0
4122,9
4123,6
4124,7
4125,8
4126,0
4127,3
4128,3
4129,3
4130,3
4131,6
4132,3
4133,3
4134,1
4135,9
4136,0
4137,5
4138,4
4139,7
4140,3
4141,3
4142,1
4143,0
4144,6
4145,1
4146,1
4147,2
4148,4
4149,7
4150,8
4151,1
4152,8
4153,3
4154,7
4155,0
4156,9
4157,9
4158,7
4159,5
4160,5
4161,5
4162,3
4163,2
4164,6
4165,0
4166,0
4167,4
4168,8
4169,2
4170,0
4171,5
4172,2
4173,9
4174,5
4175,1
4176,2
4177,7
4178,0
4179,4
4180,5
4181,6
4182,6
4183,4
4184,3
4185,6
4186,4
4187,6
4188,4
4189,8
4190,4
4191,3
4192,6
4193,4
4194,6
4195,4
4196,0
4197,9
4198,6
4199,7
4200,2
4201,9
4202,1
4203,3
4204,2
4205,4
4206,4
4207,7
4208,5
4209,4
4210,4
4211,9
4212,9
4213,6
4214,4
4215,3
4216,5
4217,9
4218,7
4219,1
4220,4
4221,8
4222,0
4223,6
4224,9
4225,3
4226,7
4227,5
4228,3
4229,0
4230,5
4231,1
4232,7
4233,7
4234,5
4235,8
4236,0
4237,7
4238,1
4239,9
4240,5
4241,8
4242,3
4243,1
4244,3
4245,3
4246,6
4247,3
4248,3
4249,8
4250,7
4251,6
4252,2
4253,5
4254,9
4255,7
4256,2
4257,4
4258,3
4259,5
4260,4
4261,4
4262,7
4263,6
4264,4
4265,7
4266,3
4267,0
4268,6
4269,2
4270,7
4271,8
4272,7
4273,9
4274,4
4275,3
4276,5
4277,6
4278,1
4279,2
4280,3
4281,4
4282,5
4283,8
4284,6
4285,3
4286,6
4287,8
4288,2
4289,3
4290,5
4291,1
4292,0
4293,5
4294,1
4295,7
4296,0
4297,4
4298,1
4299,3
4300,2
4301,4
4302,5
4303,6
4304,0
4305,4
4306,6
4307,2
4308,1
4309,4
4310,3
4311,0
4312,4
4313,5
4314,3
4315,2
4316,3
4317,7
4318,0
4319,7
4320,7
4321,2
4322,1
4323,7
4324,8
4325,3
4326,1
4327,1
4328,6
4329,0
4330,1
4331,4
4332,6
4333,2
4334,0
4335,9
4336,7
4337,4
4338,1
4339,4
4340,8
4341,1
4342,4
4343,5
4344,6
4345,1
4346,0
4347,8
4348,2
4349,5
4350,3
4351,6
4352,5
4353,4
4354,0
4355,8
4356,7
4357,8
4358,7
4359,9
4360,3
4361,4
4362,5
4363,7
4364,6
4365,4
4366,0
4367,4
4368,5
4369,4
4370,7
4371,6
4372,8
4373,1
4374,3
4375,6
4376,0
4377,9
4378,2
4379,2
4380,0
4381,4
4382,7
4383,0
4384,7
4385,4
4386,5
4387,3
4388,6
4389,0
4390,3
4391,4
4392,1
4393,0
4394,9
4395,3
4396,2
4397,5
4398,9
4399,9
4400,6
4401,9
4402,3
4403,8
4404,9
4405,4
4406,7
4407,2
4408,7
4409,3
4410,5
4411,1
4412,1
4413,5
4414,1
4415,1
4416,6
4417,6
4418,0
4419,6
4420,5
4421,0
4422,9
4423,6
4424,1
4425,1
4426,9
4427,1
4428,7
4429,7
4430,0
4431,7
4432,6
4433,1
4434,7
4435,5
4436,1
4437,5
4438,0
4439,7
4440,7
4441,4
4442,7
4443,4
4444,5
4445,3
4446,8
4447,8
4448,5
4449,6
4450,6
4451,7
4452,5
4453,1
4454,4
4455,4
4456,3
4457,9
4458,3
4459,7
4460,8
4461,6
4462,4
4463,5
4464,3
4465,1
4466,8
4467,7
4468,0
4469,0
4470,2
4471,0
4472,3
4473,4
4474,6
4475,4
4476,8
4477,4
4478,8
4479,5
4480,9
4481,4
4482,8
4483,8
4484,5
4485,3
4486,9
4487,8
4488,4
4489,4
4490,9
4491,1
4492,0
4493,5
4494,3
4495,3
4496,1
4497,0
4498,6
4499,0
4500,3
4501,3
4502,5
4503,7
4504,3
4505,5
4506,9
4507,8
4508,2
4509,4
4510,1
4511,1
4512,1
4513,7
4514,5
4515,7
4516,7
4517,4
4518,8
4519,4
4520,2
4521,7
4522,8
4523,6
4524,7
4525,1
4526,1
4527,0
4528,9
4529,1
4530,7
4531,7
4532,0
4533,6
4534,8
4535,5
4536,7
4537,2
4538,7
4539,6
4540,7
4541,4
4542,1
4543,1
4544,4
4545,9
4546,6
4547,8
4548,3
4549,8
4550,4
4551,0
4552,0
4553,0
4554,4
4555,4
4556,7
4557,8
4558,0
4559,3
4560,5
4561,0
4562,4
4563,4
4564,0
4565,6
4566,4
4567,7
4568,4
4569,6
4570,1
4571,7
4572,4
4573,2
4574,4
4575,0
4576,0
4577,9
4578,0
4579,8
4580,6
4581,3
4582,6
4583,9
4584,3
4585,9
4586,4
4587,7
4588,0
4589,0
4590,6
4591,6
4592,8
4593,1
4594,7
4595,2
4596,7
4597,7
4598,1
4599,1
4600,3
4601,8
4602,3
4603,1
4604,2
4605,5
4606,9
4607,1
4608,6
4609,3
4610,4
4611,4
4612,3
4613,0
4614,1
4615,0
4616,9
4617,1
4618,6
4619,7
4620,4
4621,0
4622,2
4623,4
4624,5
4625,7
4626,8
4627,0
4628,3
4629,1
4630,0
4631,3
4632,7
4633,7
4634,5
4635,2
4636,4
4637,5
4638,1
4639,3
4640,0
4641,6
4642,1
4643,4
4644,3
4645,8
4646,4
4647,9
4648,6
4649,4
4650,3
4651,6
4652,6
4653,6
4654,6
4655,9
4656,2
4657,0
4658,7
4659,0
4660,6
4661,0
4662,5
4663,1
4664,2
4665,8
4666,1
4667,8
4668,0
4669,8
4670,5
4671,1
4672,5
4673,0
4674,4
4675,0
4676,3
4677,3
4678,5
4679,0
4680,8
4681,9
4682,5
4683,6
4684,1
4685,8
4686,9
4687,9
4688,3
4689,0
4690,1
4691,2
4692,7
4693,3
4694,7
4695,6
4696,2
4697,8
4698,2
4699,6
4700,0
4701,0
4702,5
4703,0
4704,1
4705,8
4706,6
4707,7
4708,1
4709,2
4710,6
4711,1
4712,5
4713,6
4714,9
4715,1
4716,7
4717,1
4718,4
4719,8
4720,5
4721,0
4722,8
4723,5
4724,0
4725,6
4726,4
4727,5
4728,8
4729,8
4730,2
4731,4
4732,5
4733,6
4734,9
4735,3
4736,5
4737,6
4738,7
4739,1
4740,5
4741,2
4742,1
4743,3
4744,5
4745,1
4746,2
4747,4
4748,6
4749,7
4750,6
4751,1
4752,6
4753,7
4754,0
4755,9
4756,0
4757,3
4758,9
4759,9
4760,5
4761,9
4762,4
4763,0
4764,5
4765,7
4766,2
4767,6
4768,5
4769,1
4770,3
4771,6
4772,2
4773,6
4774,9
4775,2
4776,7
4777,1
4778,5
4779,4
4780,8
4781,8
4782,4
4783,0
4784,4
4785,0
4786,1
4787,5
4788,3
4789,1
4790,7
4791,5
4792,2
4793,2
4794,4
4795,3
4796,6
4797,2
4798,7
4799,2
4800,4
4801,6
4802,7
4803,8
4804,9
4805,5
4806,4
4807,9
4808,2
4809,8
4810,1
4811,4
4812,1
4813,0
4814,0
4815,2
4816,2
4817,3
4818,7
4819,9
4820,1
4821,3
4822,1
4823,3
4824,1
4825,2
4826,4
4827,7
4828,0
4829,7
4830,9
4831,1
4832,7
4833,7
4834,4
4835,2
4836,9
4837,7
4838,8
4839,0
4840,7
4841,2
4842,2
4843,1
4844,2
4845,3
4846,0
4847,5
4848,8
4849,6
4850,5
4851,9
4852,9
4853,0
4854,6
4855,1
4856,6
4857,7
4858,0
4859,4
4860,6
4861,5
4862,3
4863,6
4864,5
4865,5
4866,9
4867,3
4868,9
4869,8
4870,7
4871,7
4872,7
4873,0
4874,6
4875,8
4876,5
4877,6
4878,3
4879,4
4880,0
4881,4
4882,5
4883,2
4884,1
4885,4
4886,8
4887,9
4888,6
4889,2
4890,3
4891,3
4892,0
4893,3
4894,0
4895,5
4896,7
4897,2
4898,3
4899,2
4900,8
4901,9
4902,3
4903,0
4904,0
4905,6
4906,3
4907,1
4908,4
4909,3
4910,4
4911,0
4912,8
4913,6
4914,1
4915,9
4916,8
4917,0
4918,0
4919,9
4920,4
4921,1
4922,7
4923,1
4924,7
4925,1
4926,3
4927,3
4928,3
4929,6
4930,4
4931,6
4932,1
4933,3
4934,5
4935,0
4936,4
4937,5
4938,5
4939,7
4940,1
4941,4
4942,8
4943,5
4944,3
4945,3
4946,4
4947,0
4948,3
4949,0
4950,8
4951,7
4952,6
4953,4
4954,0
4955,9
4956,9
4957,6
4958,6
4959,9
4960,0
4961,6
4962,8
4963,1
4964,0
4965,8
4966,3
4967,3
4968,8
4969,5
4970,3
4971,1
4972,7
4973,1
4974,6
4975,0
4976,8
4977,8
4978,0
4979,0
4980,7
4981,0
4982,8
4983,7
4984,6
4985,9
4986,4
4987,0
4988,3
4989,5
4990,9
4991,8
4992,0
4993,8
4994,3
4995,7
4996,3
4997,1
4998,5
4999,3
5000,1
5001,9
5002,1
5003,6
5004,3
5005,1
5006,9
5007,2
5008,8
5009,2
5010,6
5011,4
5012,5
5013,8
5014,1
5015,2
5016,5
5017,4
5018,5
5019,8
5020,0
5021,7
5022,5
5023,9
5024,5
5025,8
5026,3
5027,1
5028,4
5029,5
5030,5
5031,9
5032,2
5033,2
5034,5
5035,7
5036,1
5037,7
5038,7
5039,5
5040,5
5041,2
5042,7
5043,8
5044,7
5045,5
5046,0
5047,3
5048,2
5049,1
5050,3
5051,9
5052,4
5053,9
5054,8
5055,4
5056,6
5057,8
5058,7
5059,3
5060,2
5061,0
5062,1
5063,3
5064,0
5065,3
5066,1
5067,3
5068,8
5069,2
5070,3
5071,5
5072,4
5073,0
5074,2
5075,6
5076,3
5077,6
5078,5
5079,3
5080,1
5081,9
5082,4
5083,3
5084,9
5085,7
5086,4
5087,6
5088,0
5089,1
5090,8
5091,8
5092,6
5093,7
5094,0
5095,2
5096,4
5097,5
5098,1
5099,6
5100,7
5101,2
5102,3
5103,7
5104,7
5105,9
5106,6
5107,5
5108,7
5109,8
5110,6
5111,2
5112,5
5113,1
5114,5
5115,1
5116,0
5117,3
5118,0
5119,2
5120,2
5121,5
5122,1
5123,2
5124,0
5125,4
5126,1
5127,5
5128,7
5129,4
5130,0
5131,9
5132,3
5133,7
5134,7
5135,9
5136,1
5137,5
5138,3
5139,4
5140,9
5141,4
5142,5
5143,0
5144,2
5145,6
5146,2
5147,2
5148,8
5149,0
5150,4
5151,7
5152,2
5153,4
5154,6
5155,0
5156,0
5157,5
5158,8
5159,0
5160,3
5161,4
5162,6
5163,9
5164,4
5165,4
5166,6
5167,4
5168,3
5169,3
5170,7
5171,9
5172,4
5173,1
5174,4
5175,5
5176,5
5177,3
5178,1
5179,6
5180,4
5181,0
5182,0
5183,8
5184,6
5185,3
5186,6
5187,6
5188,8
5189,0
5190,8
5191,4
5192,5
5193,5
5194,1
5195,8
5196,0
5197,0
5198,2
5199,9
5200,4
5201,4
5202,4
5203,3
5204,8
5205,5
5206,4
5207,5
5208,6
5209,6
5210,9
5211,7
5212,0
5213,9
5214,5
5215,1
5216,5
5217,8
5218,5
5219,5
5220,7
5221,3
5222,8
5223,9
5224,0
5225,0
5226,0
5227,0
5228,1
5229,1
5230,8
5231,6
5232,3
5233,0
5234,1
5235,9
5236,7
5237,0
5238,9
5239,9
5240,2
5241,9
5242,0
5243,2
5244,6
5245,4
5246,0
5247,3
5248,3
5249,5
5250,3
5251,6
5252,5
5253,6
5254,5
5255,4
5256,8
5257,1
5258,9
5259,6
5260,8
5261,1
5262,5
5263,3
5264,7
5265,1
5266,1
5267,4
5268,5
5269,8
5270,3
5271,5
5272,3
5273,1
5274,4
5275,7
5276,9
5277,9
5278,1
5279,8
5280,7
5281,7
5282,8
5283,1
5284,6
5285,5
5286,1
5287,1
5288,0
5289,8
5290,2
5291,1
5292,1
5293,1
5294,0
5295,1
5296,3
5297,1
5298,2
5299,3
5300,5
5301,0
5302,5
5303,7
5304,6
5305,0
5306,9
5307,5
5308,0
5309,1
5310,3
5311,4
5312,0
5313,9
5314,8
5315,6
5316,0
5317,1
5318,5
5319,0
5320,2
5321,2
5322,3
5323,5
5324,6
5325,0
5326,3
5327,3
5328,0
5329,4
5330,2
5331,7
5332,7
5333,5
5334,7
5335,8
5336,7
5337,9
5338,4
5339,5
5340,6
5341,5
5342,0
5343,1
5344,4
5345,2
5346,3
5347,3
5348,6
5349,1
5350,2
5351,4
5352,2
5353,5
5354,7
5355,4
5356,3
5357,8
5358,6
5359,1
5360,4
5361,6
5362,8
5363,4
5364,0
5365,5
5366,4
5367,0
5368,2
5369,9
5370,7
5371,9
5372,9
5373,7
5374,4
5375,9
5376,5
5377,6
5378,8
5379,0
5380,2
5381,7
5382,6
5383,7
5384,6
5385,4
5386,4
5387,4
5388,2
5389,3
5390,6
5391,1
5392,4
5393,4
5394,5
5395,5
5396,0
5397,6
5398,5
5399,9
5400,3
5401,4
5402,6
5403,1
5404,0
5405,5
5406,1
5407,7
5408,9
5409,4
5410,0
5411,4
5412,7
5413,9
5414,6
5415,2
5416,8
5417,5
5418,3
5419,7
5420,7
5421,1
5422,5
5423,5
5424,0
5425,2
5426,0
5427,8
5428,3
5429,4
5430,0
5431,3
5432,5
5433,5
5434,5
5435,3
5436,0
5437,3
5438,2
5439,1
5440,8
5441,9
5442,1
5443,3
5444,8
5445,5
5446,4
5447,3
5448,3
5449,3
5450,2
5451,6
5452,0
5453,0
5454,9
5455,5
5456,0
5457,0
5458,7
5459,0
5460,3
5461,5
5462,2
5463,6
5464,1
5465,0
5466,8
5467,9
5468,2
5469,5
5470,5
5471,3
5472,9
5473,0
5474,4
5475,2
5476,0
5477,2
5478,4
5479,3
5480,4
5481,2
5482,4
5483,0
5484,3
5485,2
5486,5
5487,4
5488,3
5489,8
5490,3
5491,5
5492,4
5493,2
5494,4
5495,9
5496,4
5497,9
5498,8
5499,8
5500,5
5501,6
5502,2
5503,2
5504,3
5505,4
5506,5
5507,8
5508,7
5509,9
5510,7
5511,0
5512,9
5513,9
5514,7
5515,8
5516,0
5517,9
5518,6
5519,9
5520,9
5521,3
5522,5
5523,7
5524,2
5525,6
5526,4
5527,5
5528,5
5529,2
5530,0
5531,9
5532,9
5533,3
5534,0
5535,7
5536,2
5537,4
5538,6
5539,6
5540,7
5541,3
5542,8
5543,3
5544,4
5545,3
5546,2
5547,9
5548,0
5549,7
5550,7
5551,7
5552,5
5553,0
5554,4
5555,3
5556,6
5557,1
5558,6
5559,0
5560,4
5561,6
5562,7
5563,6
5564,9
5565,2
5566,4
5567,6
5568,5
5569,7
5570,4
5571,8
5572,2
5573,2
5574,2
5575,2
5576,1
5577,1
5578,6
5579,6
5580,0
5581,1
5582,6
5583,4
5584,0
5585,3
5586,8
5587,8
5588,7
5589,6
5590,2
5591,4
5592,9
5593,8
5594,0
5595,9
5596,9
5597,9
5598,5
5599,5
5600,5
5601,9
5602,0
5603,2
5604,0
5605,5
5606,2
5607,4
5608,4
5609,8
5610,8
5611,6
5612,3
5613,5
5614,5
5615,0
5616,0
5617,9
5618,8
5619,7
5620,3
5621,3
5622,7
5623,0
5624,6
5625,3
5626,1
5627,3
5628,6
5629,5
5630,5
5631,7
5632,4
5633,0
5634,7
5635,3
5636,5
5637,6
5638,5
5639,0
5640,3
5641,9
5642,5
5643,9
5644,9
5645,8
5646,1
5647,6
5648,3
5649,9
5650,2
5651,0
5652,7
5653,2
5654,9
5655,7
5656,3
5657,3
5658,2
5659,8
5660,6
5661,9
5662,6
5663,9
5664,7
5665,4
5666,4
5667,9
5668,6
5669,3
5670,3
5671,5
5672,0
5673,9
5674,5
5675,2
5676,5
5677,6
5678,0
5679,0
5680,7
5681,2
5682,2
5683,7
5684,4
5685,5
5686,0
5687,1
5688,5
5689,6
5690,7
5691,9
5692,0
5693,7
5694,0
5695,5
5696,2
5697,3
5698,1
5699,3
5700,5
5701,5
5702,6
5703,8
5704,6
5705,4
5706,6
5707,6
5708,3
5709,9
5710,0
5711,1
5712,6
5713,1
5714,0
5715,3
5716,4
5717,6
5718,5
5719,6
5720,5
5721,9
5722,6
5723,6
5724,5
5725,9
5726,4
5727,6
5728,7
5729,3
5730,6
5731,9
5732,9
5733,5
5734,3
5735,0
5736,0
5737,1
5738,1
5739,4
5740,9
5741,1
5742,5
5743,3
5744,0
5745,5
5746,6
5747,8
5748,4
5749,6
5750,0
5751,0
5752,5
5753,7
5754,5
5755,6
5756,0
5757,7
5758,4
5759,1
5760,8
5761,2
5762,6
5763,4
5764,4
5765,9
5766,0
5767,0
5768,6
5769,1
5770,5
5771,8
5772,9
5773,7
5774,3
5775,3
5776,9
5777,2
5778,1
5779,4
5780,1
5781,8
5782,8
5783,0
5784,1
5785,1
5786,7
5787,0
5788,3
5789,0
5790,5
5791,2
5792,0
5793,2
5794,1
5795,0
5796,6
